OPPORTUNITY NUMBER,,,pos_tuple,pos,token_str,term_str,term_id
72011423RFA00001,0,0,"('The', 'DT')",DT,The,the,1324
72011423RFA00001,0,1,"('of', 'IN')",IN,of,of,944
72011423RFA00001,0,2,"('this', 'DT')",DT,this,this,1336
72011423RFA00001,0,3,"('Program', 'NNP')",NNP,Program,program,1070
72011423RFA00001,0,4,"('is', 'VBZ')",VBZ,is,is,766
72011423RFA00001,0,5,"('to', 'TO')",TO,to,to,1348
72011423RFA00001,0,6,"('strengthen', 'VB')",VB,strengthen,strengthen,1261
72011423RFA00001,0,7,"('the', 'DT')",DT,the,the,1324
72011423RFA00001,0,8,"('quality', 'NN')",NN,quality,quality,1093
72011423RFA00001,0,9,"('and', 'CC')",CC,and,and,112
72011423RFA00001,0,10,"('equality', 'NN')",NN,equality,equality,482
72011423RFA00001,0,11,"('of', 'IN')",IN,of,of,944
72011423RFA00001,0,12,"('the', 'DT')",DT,the,the,1324
72011423RFA00001,0,13,"('general', 'JJ')",JJ,general,general,593
72011423RFA00001,0,14,"('education', 'NN')",NN,education,education,429
72011423RFA00001,0,15,"('system', 'NN')",NN,system,system,1303
72011423RFA00001,0,16,"('in', 'IN')",IN,in,in,691
72011423RFA00001,0,17,"('Georgia', 'NNP')",NNP,Georgia,georgia,597
72011423RFA00001,0,18,"('.', '.')",.,.,,0
72011423RFA00001,1,0,"('The', 'DT')",DT,The,the,1324
72011423RFA00001,1,1,"('will', 'MD')",MD,will,will,1462
72011423RFA00001,1,2,"('support', 'VB')",VB,support,support,1288
72011423RFA00001,1,3,"('the', 'DT')",DT,the,the,1324
72011423RFA00001,1,4,"('Government', 'NNP')",NNP,Government,government,611
72011423RFA00001,1,5,"('of', 'IN')",IN,of,of,944
72011423RFA00001,1,6,"('Georgia', 'NNP')",NNP,Georgia,georgia,597
72011423RFA00001,1,7,"('(', '(')",(,(,,0
72011423RFA00001,1,8,"('GoG', 'NNP')",NNP,GoG,gog,605
72011423RFA00001,1,9,"(')', ')')",),),,0
72011423RFA00001,1,10,"('in', 'IN')",IN,in,in,691
72011423RFA00001,1,11,"('enhancing', 'VBG')",VBG,enhancing,enhancing,467
72011423RFA00001,1,12,"('the', 'DT')",DT,the,the,1324
72011423RFA00001,1,13,"('quality', 'NN')",NN,quality,quality,1093
72011423RFA00001,1,14,"('of', 'IN')",IN,of,of,944
72011423RFA00001,1,15,"('pre-service', 'NN')",NN,pre-service,preservice,1052
72011423RFA00001,1,16,"('teacher', 'NN')",NN,teacher,teacher,1314
72011423RFA00001,1,17,"('education', 'NN')",NN,education,education,429
72011423RFA00001,1,18,"('programs', 'NNS')",NNS,programs,programs,1072
72011423RFA00001,1,19,"(';', ':')",:,;,,0
72011423RFA00001,1,20,"('building', 'VBG')",VBG,building,building,186
72011423RFA00001,1,21,"('the', 'DT')",DT,the,the,1324
72011423RFA00001,1,22,"('capacity', 'NN')",NN,capacity,capacity,202
72011423RFA00001,1,23,"('of', 'IN')",IN,of,of,944
72011423RFA00001,1,24,"('school', 'NN')",NN,school,school,1185
72011423RFA00001,1,25,"('administrators', 'NNS')",NNS,administrators,administrators,73
72011423RFA00001,1,26,"('as', 'IN')",IN,as,as,138
72011423RFA00001,1,27,"('instructional', 'JJ')",JJ,instructional,instructional,730
72011423RFA00001,1,28,"('leaders', 'NNS')",NNS,leaders,leaders,797
72011423RFA00001,1,29,"(';', ':')",:,;,,0
72011423RFA00001,1,30,"('and', 'CC')",CC,and,and,112
72011423RFA00001,1,31,"('strengthening', 'VBG')",VBG,strengthening,strengthening,1263
72011423RFA00001,1,32,"('the', 'DT')",DT,the,the,1324
72011423RFA00001,1,33,"('implementation', 'NN')",NN,implementation,implementation,681
72011423RFA00001,1,34,"('of', 'IN')",IN,of,of,944
72011423RFA00001,1,35,"('decentralization', 'NN')",NN,decentralization,decentralization,354
72011423RFA00001,1,36,"('policies', 'NNS')",NNS,policies,policies,1028
72011423RFA00001,1,37,"('with', 'IN')",IN,with,with,1464
72011423RFA00001,1,38,"('a', 'DT')",DT,a,a,25
72011423RFA00001,1,39,"('specific', 'JJ')",JJ,specific,specific,1241
72011423RFA00001,1,40,"('focus', 'NN')",NN,focus,focus,551
72011423RFA00001,1,41,"('on', 'IN')",IN,on,on,947
72011423RFA00001,1,42,"('refining', 'VBG')",VBG,refining,refining,1116
72011423RFA00001,1,43,"('the', 'DT')",DT,the,the,1324
72011423RFA00001,1,44,"('roles', 'NNS')",NNS,roles,roles,1168
72011423RFA00001,1,45,"('and', 'CC')",CC,and,and,112
72011423RFA00001,1,46,"('responsibilities', 'NNS')",NNS,responsibilities,responsibilities,1152
72011423RFA00001,1,47,"('of', 'IN')",IN,of,of,944
