OPPORTUNITY NUMBER,term_str
72011423RFA00001,quality equality education system quality preservice teacher education programs capacity school administrators leaders implementation decentralization policies focus roles responsibilities capacity schools
72016923RFA00001,establishment investment vehicle fund financing products services media information communications sectors region fund investments products services citizens ability access information skills focus enterprises companies media information communications services industry stakeholders entrepreneurs infrastructure architecture innovation media information communications space consumers businesses ability technologies platforms access information usaid fund investments range products services news information providers cybersecurity analytics subscription services technology solutions management systems audience measurement analysis information communication platforms tools applications generation technologies technologies forwardlooking products services products services citizens ability access accurate information thinking skills support digital media information literacy education principles section investment principles principles
72067423RFA00004,lives population control partner districts execution health engagement health practitioners outreach teams sector organizations response access services capacity organizations es towards s health system health coverage clients experience care morbidity mortality
72067423RFA00003,hereinafter lives population control usaid aims s gaps control health gains health systems community society structures sector partnerships service delivery client outcomes focus burden districts province focus line changes priorities period performance years total amount es innovation appropriate context development challenges control elimination partnerships communities organizations society services people need health systems barriers sustainability results
72011123RFA00001,overall integrity information space capacity media outlets independence reach impact society quality content support viability media funding source interest media challenges framework operation media media literacy citizens leaders information role media government
72061222RFA00006,wealth generation ruralbasedprivate sector investments partnerships firms surrounding communities smallholder organizations cooperatives growth pole afocus benefits smallholders youth women
72012222RFA00001,bilateral efforts burden country highquality health activities access prevention care treatment services health systems targets grant agreement
72044022RFA00003,theory change leadership development model growth development youth leaders cohort age region capacity interventions cohort platform resourcesexpertise networking leaders knowledge skills pilot innovation es change environment biodiversity challenges contribute relationships region opportunities youth leaders learning community incentivizing research andor innovations level grants program
72044022RFA00002,plastic pollution source es stakeholders power creation implementation policies knowledge learning technology solutions expertise building capacity governments waste source prevent plastic pollution oceans commitment waste management pollution environment oceans support security action pollution range actors society sector governments security sustainability outcomes transparency action climate change equality development implement activities level s
72044021RFA00003,theory change education institution core areas sustainability autonomy quality research innovation areas example education institution governance quality assurance mechanisms place quality academics quality academics sustainability research academics research capacity offerings revenue institution
72044020RFA00004,threats biodiversity hunting species forest use logging extent threats forest use collection wood forest products conversion forests agriculture
72061322RFA00004,culture rule law constitutionalism interventions independence transparency accountability seeks ways spectrum state justice sector actors institutions levels corruption governance corruption abuse authority gain2f3 forms corruption undermine development democracy support business sector institutions eg health education services governance seeks ways citizens people corruption access information institutions rule law aim corruption
72067022RFA00001,jump   sector growth employment opportunities diversification populations centers project resilience populations women youth minorities groups people disabilities populations above mind program root causes conflict nature poverty unemployment inequality opportunities populations role conflict fragility opportunities target group effectiveness strengthen entrepreneurship skills opportunities populations productivity target populations increase training focus market demands increase assistance businesses phases life cycle resilience target population andpromote stabilization peacebuilding conflict prevention
72044022RFA00001,utilization investment rule law support reform business environment businesses
72068523RFA00001,education completion community learners crisis conditions skills wellbeing face shocks stressors number school children school education quality instruction struggle skills displacement climate risks education conditions host community learners
72044223RFA00001,quality sustainability responsiveness health services sectors health outcomes populations implementation priorities health stakeholders health coverage focus health systems advancements challenges health disease progress governance regulation compliance agenda systems advancements acceptability accountability health services level s focus health workforce governance compliance tools effectiveness efficiency health system progress disease elimination focus programs ability disease cases integration wider health system progress priorities focus supply quality services sectors integration opportunities health systems challenges governance regulation enforcement compliance capacity governments quality improvement health councils accreditation licensing systems sector health facilities quality improvement funding availability use priorities course implementation s
72051422RFA00001,s reconciliation repetition conflict victims rights memory truth justice trust cohesion individuals communities sector actors
72066322RFA00004,morbidity mortality citizens health emergencies continuity health services cycle health emergency management preparedness response recovery community capacity resilience health emergencies prevent prepare detect respond emergencies delivery health services leadership management coordination1 surveillance capacity2 risk investigation attention needs concerns women girls emergencies outbreaks efforts
72039122RFA00003,family health outcomes uptake continuation services health impacts pandemic health threats level health systems utilization quality services couples order timing spacing pregnancies assistance capacity sector institutions frameworks health services services es quality products services change interventions youth men evidence lessons health programs utilization services determinants contraceptive use quality resilience service delivery interventions
72060822RFA00001,capacity curricula subjects grades 79 ways impacts outcomes program performance directorates education academies directorates schools pedagogies learning content areas thinking skills
72065621RFA00011,retention girls ages school prerequisite livelihoods career choices school access teacher skills behaviors services health community support towards education safety girls school vulnerability marriage pregnancy diseases parents guardians school councils community leaders community interest girls implementation messages gender equality education prevention marriage pregnancy school community use sanitation services
72038621RFA00001,planting trees forests provision ecosystem services sequestration opportunities stakeholders uptake trees forests environment planting trees opportunities trees forests access information country
72049220RFA00003,fisheries sustainability biodiversity conservation security development s region drivers fisheries biodiversity livelihoods food security fisheries biodiversity source region security focus fishing drivers fishing fisheries biodiversity livelihoods security focus fisheries fisheries management level application roles responsibilities level government management
